"ANO";"Regiao";"SIGLA";"UF";"Dependencia_Administrativa";"Localizacao";"Situacao_Funcionamento";"Fundamental_Nº_Matriculas";"Fundamental_Nº_Turmas";"Fundamental_Nº_Docentes";"Fundamental_Nº_Aprovados";"Fundamental_Nº_Reprovados";"Fundamental_Nº_Abandonos";"Medio_Nº_Matriculas";"Medio_Nº_Turmas";"Medio_Nº_Docentes";"Medio_Nº_Aprovados";"Medio_Nº_Reprovados";"Medio_Nº_Abandonos";"Nº_Escolas"
1996;"Norte";"AC";"Acre";"Estadual";"Rural";"Em Atividade";20887;463;1260;10549;3866;6062;283;9;156;137;2;46;632
1996;"Norte";"AC";"Acre";"Estadual";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;8
1996;"Norte";"AC";"Acre";"Estadual";"Rural";"Paralisada";0;0;1260;77;16;240;0;0;156;0;0;0;20
1996;"Norte";"AC";"Acre";"Estadual";"Urbana";"Em Atividade";57037;1860;1260;37869;9459;9531;12993;341;156;7904;1133;2923;130
1996;"Norte";"AC";"Acre";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;3
1996;"Norte";"AC";"Acre";"Federal";"Urbana";"Em Atividade";296;11;1260;261;19;3;132;5;156;93;8;2;1
1996;"Norte";"AC";"Acre";"Municipal";"Rural";"Em Atividade";14621;149;1260;7489;3037;4219;0;0;156;0;0;0;544
1996;"Norte";"AC";"Acre";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;3
1996;"Norte";"AC";"Acre";"Municipal";"Rural";"Paralisada";0;0;1260;19;10;35;0;0;156;0;0;0;4
1996;"Norte";"AC";"Acre";"Municipal";"Urbana";"Em Atividade";22709;751;1260;14339;3628;4726;406;12;156;341;6;113;68
1996;"Norte";"AC";"Acre";"Municipal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Norte";"AC";"Acre";"Privada";"Rural";"Em Atividade";56;1;1260;16;8;19;0;0;156;0;0;0;2
1996;"Norte";"AC";"Acre";"Privada";"Urbana";"Em Atividade";7699;273;1260;6936;485;155;1433;34;156;951;134;67;24
1996;"Norte";"AC";"Acre";"Privada";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"AL";"Alagoas";"Estadual";"Rural";"Em Atividade";21957;646;1260;11525;5610;3018;728;18;156;395;62;220;144
1996;"Nordeste";"AL";"Alagoas";"Estadual";"Rural";"Paralisada";0;0;1260;10;23;1;0;0;156;0;0;0;1
1996;"Nordeste";"AL";"Alagoas";"Estadual";"Urbana";"Em Atividade";143027;3881;1260;78444;31785;21320;15920;373;156;8360;1459;4374;302
1996;"Nordeste";"AL";"Alagoas";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;5
1996;"Nordeste";"AL";"Alagoas";"Estadual";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"AL";"Alagoas";"Federal";"Rural";"Em Atividade";149;8;1260;72;45;26;0;0;156;0;0;0;3
1996;"Nordeste";"AL";"Alagoas";"Federal";"Urbana";"Em Atividade";0;0;1260;0;0;0;4501;123;156;3719;266;79;3
1996;"Nordeste";"AL";"Alagoas";"Municipal";"Rural";"Em Atividade";158527;4162;1260;69945;49072;29637;766;17;156;400;51;164;2553
1996;"Nordeste";"AL";"Alagoas";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;15
1996;"Nordeste";"AL";"Alagoas";"Municipal";"Rural";"Paralisada";0;0;1260;404;183;262;0;0;156;0;0;0;25
1996;"Nordeste";"AL";"Alagoas";"Municipal";"Urbana";"Em Atividade";145836;4062;1260;77410;34553;23231;6677;168;156;3915;523;1274;390
1996;"Nordeste";"AL";"Alagoas";"Municipal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;9
1996;"Nordeste";"AL";"Alagoas";"Municipal";"Urbana";"Paralisada";0;0;1260;17;21;31;0;0;156;0;0;0;2
1996;"Nordeste";"AL";"Alagoas";"Privada";"Rural";"Em Atividade";11516;287;1260;6710;2530;1813;352;9;156;278;14;71;104
1996;"Nordeste";"AL";"Alagoas";"Privada";"Urbana";"Em Atividade";84818;2705;1260;65338;11529;6340;26833;692;156;19341;2545;3671;343
1996;"Nordeste";"AL";"Alagoas";"Privada";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;6
1996;"Nordeste";"AL";"Alagoas";"Privada";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;6
1996;"Norte";"AP";"Amapá";"Estadual";"Rural";"Em Atividade";12533;607;1260;5617;2055;943;127;5;156;0;0;0;228
1996;"Norte";"AP";"Amapá";"Estadual";"Urbana";"Em Atividade";73569;2234;1260;45482;12698;5016;18292;444;156;8988;2738;2250;104
1996;"Norte";"AP";"Amapá";"Municipal";"Rural";"Em Atividade";3040;108;1260;617;329;296;0;0;156;0;0;0;106
1996;"Norte";"AP";"Amapá";"Municipal";"Urbana";"Em Atividade";12346;416;1260;8333;2064;1252;0;0;156;0;0;0;33
1996;"Norte";"AP";"Amapá";"Privada";"Rural";"Em Atividade";263;9;1260;155;23;43;0;0;156;0;0;0;3
1996;"Norte";"AP";"Amapá";"Privada";"Urbana";"Em Atividade";5366;187;1260;3943;363;122;1173;31;156;419;115;33;12
1996;"Norte";"AM";"Amazonas";"Estadual";"Rural";"Em Atividade";10194;380;1260;6300;1548;2062;579;18;156;126;9;40;50
1996;"Norte";"AM";"Amazonas";"Estadual";"Urbana";"Em Atividade";318942;8229;1260;205885;48758;58875;72180;1569;156;42210;5203;15211;442
1996;"Norte";"AM";"Amazonas";"Estadual";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Norte";"AM";"Amazonas";"Federal";"Urbana";"Em Atividade";620;22;1260;513;111;0;4195;119;156;2755;619;156;4
1996;"Norte";"AM";"Amazonas";"Municipal";"Rural";"Em Atividade";93151;1014;1260;45286;24389;18008;608;15;156;360;26;142;3832
1996;"Norte";"AM";"Amazonas";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;10
1996;"Norte";"AM";"Amazonas";"Municipal";"Rural";"Paralisada";0;0;1260;178;94;67;0;0;156;0;0;0;32
1996;"Norte";"AM";"Amazonas";"Municipal";"Urbana";"Em Atividade";82740;2302;1260;47540;12135;11446;0;0;156;0;0;0;232
1996;"Norte";"AM";"Amazonas";"Municipal";"Urbana";"Paralisada";0;0;1260;58;17;14;0;0;156;0;0;0;4
1996;"Norte";"AM";"Amazonas";"Privada";"Rural";"Em Atividade";630;39;1260;542;67;15;150;9;156;123;17;4;4
1996;"Norte";"AM";"Amazonas";"Privada";"Urbana";"Em Atividade";39057;1410;1260;34652;2546;1193;7710;222;156;5742;631;408;156
1996;"Norte";"AM";"Amazonas";"Privada";"Urbana";"Paralisada";0;0;1260;32;34;17;0;0;156;0;0;0;1
1996;"Nordeste";"BA";"Bahia";"Estadual";"Rural";"Em Atividade";104809;3662;1260;61408;17370;14641;1661;76;156;1032;130;192;891
1996;"Nordeste";"BA";"Bahia";"Estadual";"Urbana";"Em Atividade";1198595;37793;1260;717404;233071;185043;207695;5230;156;123780;24603;31360;2962
1996;"Nordeste";"BA";"Bahia";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"BA";"Bahia";"Federal";"Rural";"Em Atividade";267;6;1260;64;13;2;277;8;156;122;17;17;6
1996;"Nordeste";"BA";"Bahia";"Federal";"Urbana";"Em Atividade";1400;40;1260;859;183;7;3523;113;156;2173;644;104;8
1996;"Nordeste";"BA";"Bahia";"Municipal";"Rural";"Em Atividade";767102;13964;1260;403802;146499;113796;1899;87;156;1023;76;230;19175
1996;"Nordeste";"BA";"Bahia";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;2
1996;"Nordeste";"BA";"Bahia";"Municipal";"Rural";"Paralisada";0;0;1260;9;0;1;0;0;156;0;0;0;14
1996;"Nordeste";"BA";"Bahia";"Municipal";"Urbana";"Em Atividade";546110;17066;1260;304510;91559;80735;45699;1297;156;28466;3696;6156;2014
